questions,answer,category
Siapakah Sekretaris Laboratorium Jaringan Berbasis Informasi?,"Reza Andria Siregar, S.T., M.Kom.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Reza Andria Siregar, S.T., M.Kom. di lingkungan FILKOM?","Reza Andria Siregar, S.T., M.Kom. menjabat sebagai Sekretaris Laboratorium Jaringan Berbasis Informasi di FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Kepala Laboratorium Media Game dan Mobile?,"Aryo Pinandito, S.T., M.MT., Ph.D.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Aryo Pinandito, S.T., M.MT., Ph.D. di lingkungan FILKOM?","Aryo Pinandito, S.T., M.MT., Ph.D. menjabat sebagai Kepala Laboratorium Media Game dan Mobile di FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Laboratorium Media Game dan Mobile?,"Sekretaris Laboratorium Media Game dan Mobile adalah Agi Putra Kharisma, ST, MT.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Agi Putra Kharisma?,Agi Putra Kharisma memiliki gelar Sarjana Teknik (ST) dan Magister Teknik (MT).,Manajemen / Struktur Organisasi FILKOM
Siapa Kepala Laboratorium Sistem Informasi?,"Kepala Laboratorium Sistem Informasi adalah Diah Priharsari, S.T., M.T., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Apa saja gelar akademis yang dimiliki oleh Diah Priharsari?,"Diah Priharsari memiliki gelar Sarjana Teknik (S.T.), Magister Teknik (M.T.), dan Doktor (Ph.D.).",Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Laboratorium Sistem Informasi?,"Sekretaris Laboratorium Sistem Informasi adalah Welly Purnomo, S.T., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Welly Purnomo?,Welly Purnomo memiliki gelar Sarjana Teknik (S.T.) dan Magister Komputer (M.Kom.).,Manajemen / Struktur Organisasi FILKOM
Siapa Kepala Laboratorium Teknologi Pembelajaran?,"Kepala Laboratorium Teknologi Pembelajaran adalah Dr.Eng. Fitra Abdurrachman Bachtiar, S.T., M.Eng.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Dr.Eng. Fitra Abdurrachman Bachtiar?,"Dr.Eng. Fitra Abdurrachman Bachtiar memiliki gelar Doktor (Dr.Eng.), Sarjana Teknik (S.T.), dan Magister Teknik (M.Eng.).",Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Laboratorium Teknologi Pembelajaran?,"Sekretaris Laboratorium Teknologi Pembelajaran adalah Satrio Hadi Wijoyo, S.Si., S.Pd., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Satrio Hadi Wijoyo?,"Satrio Hadi Wijoyo memiliki gelar Sarjana Sains (S.Si.), Sarjana Pendidikan (S.Pd.), dan Magister Komputer (M.Kom.).",Manajemen / Struktur Organisasi FILKOM
Siapa Kepala Laboratorium Pembelajaran?,"Kepala Laboratorium Pembelajaran adalah Eriq Muhammad Adams Jonemaro, S.T., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Eriq Muhammad Adams Jonemaro?,Eriq Muhammad Adams Jonemaro memiliki gelar Sarjana Teknik (S.T.) dan Magister Komputer (M.Kom.).,Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Laboratorium Pembelajaran?,"Sekretaris Laboratorium Pembelajaran adalah Muhammad Aminul Akbar, S.Kom., M.T.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Muhammad Aminul Akbar?,Muhammad Aminul Akbar memiliki gelar Sarjana Komputer (S.Kom.) dan Magister Teknik (M.T.).,Manajemen / Struktur Organisasi FILKOM
"Siapa Ketua Unit Konseling, Pengembangan Karir, Layanan Terpadu Kekerasan Seksual dan Perundungan?","Ketua Unit Konseling, Pengembangan Karir, Layanan Terpadu Kekerasan Seksual dan Perundungan adalah Edy Santoso, S.Si., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Edy Santoso?,Edy Santoso memiliki gelar Sarjana Sains (S.Si.) dan Magister Komputer (M.Kom.).,Manajemen / Struktur Organisasi FILKOM
Siapa Ketua Unit Jaminan Mutu di lingkungan Departemen Teknik Informatika?,"Ketua Unit Jaminan Mutu di lingkungan Departemen Teknik Informatika adalah Eko Setiawan, S.T., M.T., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Eko Setiawan?,"Eko Setiawan memiliki gelar Sarjana Teknik (S.T.), Magister Teknik (M.T.), dan Doktor (Ph.D.).",Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Unit Jaminan Mutu di lingkungan Departemen Teknik Informatika?,"Sekretaris Unit Jaminan Mutu di lingkungan Departemen Teknik Informatika adalah Dany Primanita Kartikasari, S.T., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Dany Primanita Kartikasari?,Dany Primanita Kartikasari memiliki gelar Sarjana Teknik (S.T.) dan Magister Komputer (M.Kom.).,Manajemen / Struktur Organisasi FILKOM
Siapa saja anggota Unit Jaminan Mutu (UJM) Departemen Teknik Informatika?,"Anggota Unit Jaminan Mutu (UJM) Departemen Teknik Informatika adalah:
Indriati, S.T., M.Kom.
Mahardeka Tri Ananta, S.Kom., M.T., M.Sc.
Dr. Diva Kurnianingtyas, S.Kom.",Manajemen / Struktur Organisasi FILKOM
Siapa Ketua Unit Jaminan Mutu di lingkungan Jurusan Sistem Informasi?,"Ketua Unit Jaminan Mutu di lingkungan Jurusan Sistem Informasi adalah Fajar Pradana, S.ST., M.Eng.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Fajar Pradana?,Fajar Pradana memiliki gelar Sarjana Sains Terapan (S.ST.) dan Magister Teknik (M.Eng.).,Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Unit Jaminan Mutu di lingkungan Jurusan Sistem Informasi?,"Sekretaris Unit Jaminan Mutu di lingkungan Jurusan Sistem Informasi adalah Aditya Rachmadi, S.ST., M.TI.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Aditya Rachmadi?,Aditya Rachmadi memiliki gelar Sarjana Sains Terapan (S.ST.) dan Magister Teknologi Informasi (M.TI).,Manajemen / Struktur Organisasi FILKOM
Siapa saja anggota Unit Jaminan Mutu (UJM) Departemen Sistem Informasi?,"Anggota Unit Jaminan Mutu (UJM) Departemen Sistem Informasi adalah:
Djoko Pramono, S.T., M.Kom.
Dwija Wisnu Brata, S.ST., M.T.
Hariz Farisi, S.Kom., M.T.",Manajemen / Struktur Organisasi FILKOM
Siapa Ketua Gugus Jaminan Mutu?,"Ketua Gugus Jaminan Mutu adalah Muhammad Tanzil Furqon, S.Kom., M.Cs.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Muhammad Tanzil Furqon?,Muhammad Tanzil Furqon memiliki gelar Sarjana Komputer (S.Kom.) dan Magister Ilmu Komputer (M.Cs.).,Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Gugus Jaminan Mutu?,"Sekretaris Gugus Jaminan Mutu adalah Randy Cahya Wihandika, S.ST., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Randy Cahya Wihandika?,Randy Cahya Wihandika memiliki gelar Sarjana Sains Terapan (S.ST.) dan Magister Komputer (M.Kom.).,Manajemen / Struktur Organisasi FILKOM
Siapa saja anggota Gugus Jaminan Mutu?,"Anggota Gugus Jaminan Mutu adalah:
Retno Indah Rokhmawati, S.Pd., M.Pd.
Hanifah Muslimah Az-Zahra, S.Sn., M.Ds.
Lutfi Fanani, S.Kom., M.T.",Manajemen / Struktur Organisasi FILKOM
Siapa Ketua International Relation Office (IRO)?,"Ketua International Relation Office (IRO) adalah Komang Candra Brata, S.Kom., M.T., M.Sc.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Komang Candra Brata?,"Komang Candra Brata memiliki gelar Sarjana Komputer (S.Kom.), Magister Teknik (M.T.), dan Magister Sains (M.Sc.).",Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris International Relation Office (IRO)?,"Sekretaris International Relation Office (IRO) adalah Buce Trias Hanggara, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Buce Trias Hanggara?,Buce Trias Hanggara memiliki gelar Sarjana Komputer (S.Kom.) dan Magister Komputer (M.Kom.).,Manajemen / Struktur Organisasi FILKOM
Siapa Koordinator MBKM FILKOM?,"Koordinator MBKM FILKOM adalah Intan Sartika Eris Magfiroh, S.E., M.BA.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Intan Sartika Eris Magfiroh?,Intan Sartika Eris Magfiroh memiliki gelar Sarjana Ekonomi (S.E.) dan Magister Bisnis Administrasi (M.BA.).,Manajemen / Struktur Organisasi FILKOM
Siapa Koordinator Bagian Tata Usaha?,"Koordinator Bagian Tata Usaha adalah Dyah Anggraeni, S.E.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Dyah Anggraeni?,Dyah Anggraeni memiliki gelar Sarjana Ekonomi (S.E.).,Manajemen / Struktur Organisasi FILKOM
Siapa Subkoordinator Subbagian Akademik dan Kemahasiswaan?,"Subkoordinator Subbagian Akademik dan Kemahasiswaan adalah Hermawan Dwi Putra, S.H.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Hermawan Dwi Putra?,Hermawan Dwi Putra memiliki gelar Sarjana Hukum (S.H.).,Manajemen / Struktur Organisasi FILKOM
Siapa Subkoordinator Subbagian Keuangan dan Kepegawaian?,"Subkoordinator Subbagian Keuangan dan Kepegawaian adalah Hariyatul Fitria, S.AB.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Hariyatul Fitria?,Hariyatul Fitria memiliki gelar Sarjana Akuntansi (S.AB.).,Manajemen / Struktur Organisasi FILKOM
Siapa Subkoordinator Subbagian Umum dan BMN?,"Subkoordinator Subbagian Umum dan BMN adalah Ferix Panji Andrianto, S.ST.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Ferix Panji Andrianto?,Ferix Panji Andrianto memiliki gelar Sarjana Sains Terapan (S.ST.).,Manajemen / Struktur Organisasi FILKOM
Siapa Ketua Senat FILKOM?,"Ketua Senat FILKOM adalah Tri Astoto Kurniawan, S.T., M.T., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Tri Astoto Kurniawan?,"Tri Astoto Kurniawan memiliki gelar Sarjana Teknik (S.T.), Magister Teknik (M.T.), dan Doktor (Ph.D.).",Manajemen / Struktur Organisasi FILKOM
Siapa Sekretaris Senat FILKOM?,"Sekretaris Senat FILKOM adalah Nurudin Santoso, S.T., M.T.",Manajemen / Struktur Organisasi FILKOM
Apa gelar akademis yang dimiliki oleh Nurudin Santoso?,Nurudin Santoso memiliki gelar Sarjana Teknik (S.T.) dan Magister Teknik (M.T.).,Manajemen / Struktur Organisasi FILKOM
Siapa saja anggota Senat FILKOM?,"Anggota Senat FILKOM adalah:
Prof. Wayan Firdaus Mahmudy, S.Si., M.T., Ph.D.
Dr. Eng. Herman Tolle, S.T., M.T.
Agus Wahyu Widodo, S.T., M.Cs.
Drs. Muh. Arif Rahman, M.Kom.
Achmad Basuki, S.T., M.MG., Ph.D.
Issa Arwani, S.Kom., M.Sc.
Edy Santoso, S.Si., M.Kom.
Hurriyatul Fitriyah, S.T., M.Sc.
Dr. Eng. Fitri Utaminingrum, S.T, M.T
Dr. Drs. Achmad Ridok, M.Kom.
Suprapto, S.T., M.T.
Dr. Kariyoto, S.E., Ak., M.M.
Satrio Agung Wicaksono, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Bagaimana struktur manajemen Tata Usaha FILKOM?,Berikut adalah struktur manajemen tata usaha FILKOM : https://filkom.ub.ac.id/wp-content/uploads/2021/04/tu.jpg,Manajemen / Struktur Organisasi FILKOM
Apakah ada gambaran visual tentang struktur manajemen Tata Usaha FILKOM?,Struktur manajemen Tata Usaha FILKOM dapat dilihat pada gambar berikut: https://filkom.ub.ac.id/wp-content/uploads/2021/04/tu.jpg ,Manajemen / Struktur Organisasi FILKOM
Apa saja program kerja Komisi Akademik dan Kurikulum FILKOM?,"Program Kerja FILKOM Komisi Akademik dan Kurikulum melibatkan beberapa poin, antara lain:
Perencanaan, pengembangan, pemutakhiran, dan monitoring kurikulum secara berkala dan berkesinambungan.
Pembentukan unit atau lembaga yang mempunyai fungsi mengkaji dan mengembangkan sistem dan mutu pembelajaran.
Kepemilikan buku pedoman sebagai acuan untuk unit pelaksana dalam merencanakan dan melaksanakan program tridharma.
Sistem pembelajaran yang efektif dan perbaikan secara berkelanjutan.
Penyediaan sarana dan prasarana pembelajaran yang terpusat dan optimal.
Pengembangan sistem Informasi dan jaringan internet.
Kerjasama dan monitoring dengan berbagai lembaga berdasarkan prinsip saling menguntungkan.
Penyusunan Renstra dan Proker.
Pengembangan Program Studi dan Senat Fakultas.",Manajemen / Struktur Organisasi FILKOM
Apa saja program kerja Bidang Penelitian dan Pengabdian Masyarakat FILKOM?,"- Program Kerja FILKOM Bidang Penelitian dan Pengabdian Masyarakat mencakup beberapa poin, antara lain:
- Perancangan Pedoman Pengelolaan Penelitian.
- Perancangan pedoman pengelolaan pengabdian Masyarakat.
- Penyelenggaraan Penelitian yang bermutu.
- Publikasi hasil penelitian.
- Pengabdian kepada Masyarakat.
- Penghargaan karya inovatif dosen dan mahasiswa.
- Penerbitan buku ajar.
- Kerjasama dengan instansi.",Manajemen / Struktur Organisasi FILKOM
Apa saja fokus dari Bidang Sarana dan Prasarana Laboratorium FILKOM?,"Fokus dari Bidang Sarana dan Prasarana Laboratorium FILKOM mencakup beberapa poin, antara lain:
- Standarisasi dan pengembangan laboratorium jaringan komputer.
- Pengadaan Laboratorium Digital dan Robotik.
- Kebutuhan Layanan IT & persiapan Server IBM.",Manajemen / Struktur Organisasi FILKOM
Apa saja program kerja Bidang Mahasiswa dan Lulusan FILKOM?,"Program Kerja FILKOM Bidang Mahasiswa dan Lulusan mencakup beberapa poin, antara lain:
- Sistem penerimaan mahasiswa baru yang lengkap dan konsisten.
- Penerimaan mahasiswa baru yang menjamin mutu, ekuitas, dan aksesibilitas efektif.
- Penerimaan mahasiswa transfer.
- Daya tarik Universitas/Fakultas/Program secara nasional dengan penyebaran mahasiswa dari berbagai provinsi.
- Pedoman seleksi calon mahasiswa baru yang lengkap.
- Sistem untuk memberikan peluang dan menerima mahasiswa dari golongan tidak mampu dan cacat fisik.
- Penerapan prinsip-prinsip ekuitas.
- Upaya pengembangan dan peningkatan mutu lulusan.
- Pemanfaatan lulusan/alumni bagi peningkatan mutu program studi.
- Akses dan layanan kepada mahasiswa untuk membina dan mengembangkan penalaran, minat dan bakat, kesejahteraan, bimbingan karir.
- Pemanfaatan unit-unit layanan yang disediakan oleh Universitas/Fakultas/Program secara efektif, termasuk organisasi kemahasiswaan.
- Peningkatan partisipasi dan prestasi mahasiswa dalam kegiatan ilmiah dan dalam bidang minat dan bakat pada tingkat lokal/nasional/internasional.
- Universitas/Fakultas/Program memiliki kode etik mahasiswa, melakukan sosialisasi, dan menerapkan secara konsisten.
- Alumni & Tracer Study.
- Quality Layanan Kemahasiswaan.
- Universitas/Fakultas/Program memiliki sistem evaluasi untuk mencapai angka efisiensi edukasi yang ideal.
- Pemilikan program layanan bimbingan karir dan informasi kerja bagi mahasiswa dan lulusan.",Manajemen / Struktur Organisasi FILKOM
Apa saja isu utama yang dihadapi oleh FILKOM dalam rencana kerjanya?,"Isu Utama pada Rencana Kerja FILKOM mencakup beberapa poin, antara lain:
- Peningkatan Kualitas Input, Proses, dan Output.
- Penyehatan Organisasi.
- Peningkatan Daya Saing di tingkat Internasional.
- Pengelolaan Sumber Daya.
- Pendanaan.",Manajemen / Struktur Organisasi FILKOM
Apa fokus dan arah strategi FILKOM dalam mencapai tujuannya?,"Fokus dan Arah Strategi FILKOM mencakup beberapa poin, antara lain:
- Meningkatkan standar sarana dan prasarana yang digunakan dalam proses pelayanan akademik.
- Meningkatkan aktivitas akademik untuk kebutuhan transfer pengetahuan (Research and Teaching Collaboration, Seminar, Konferensi).
- Meningkatkan publikasi ilmiah dan popular dosen dalam bidangnya (Buku, Jurnal, Majalah, dan Artikel).
- Meningkatkan kemampuan organisasi melalui pembangunan teknologi informasi yang terintegrasi.
- Meningkatkan kualitas laporan keuangan dan menyusun sistem informasi manajemen berbasis kinerja.
- Meningkatkan daya saing nasional dan internasional dengan akreditasi nasional maupun internasional dan meningkatkan publikasi internasional.
- Meningkatkan motivasi melalui peningkatan kesejahteraan dan kualitas sumber daya manusia serta penanaman jiwa entrepreneur.
- Memanfaatkan secara maksimal kemampuan hubungan publik atau marketing dengan media dan saluran-saluran lain yang efektif.
- Melakukan kerjasama yang agresif dengan pihak luar (Universitas Lain, Pemerintah, Perusahaan, LSM-Lembaga Swadaya Masyarakat, Lembaga Keuangan, dll).",Manajemen / Struktur Organisasi FILKOM
Bagaimana arah pengembangan FILKOM ke depan?,"Arah Pengembangan FILKOM mencakup beberapa poin, antara lain:
1. Menambah Jumlah Dosen sesuai dengan Rasio standar DIKTI
2. Menambah jumlah publikasi ilmiah dosen
3. Menghasilkan produk Teknologi Informasi yang bermanfaat
4. Melakukan Pembelajaran Jarak Jauh
5. Menaikkan tingkat kompetensi mahasiswa yang mendaftar pada FILKOM
6. Meningkatkan kualitas SDM lulusan FILKOM
7. Melakukan akreditasi seluruh Program Studi
8. Membuka Program Studi Rekayasa Perangkat Lunak
9. Membuka Program Studi Teknologi Informasi
10. Membuka Program Studi Pendidikan Teknologi Informasi dan Komunikasi
11. Membuka Program Pasca Sarjana Bidang Ilmu Komputer (S2 dan S3)
12. Memperluas jaringan kerjama antara FILKOM dengan korporasi atau institusi dalam skala nasional maupun internasional
13. Meningkatkan kesejahteraan dosen dan karyawan
14. Melengkapi fasiltas sarana dan pra-sarana pendukung demi tercapainya rencana strategis FILKOM
15. Mendorong dosen untuk studi lanjut",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Fitra A. Bachtiar?,Email untuk menghubungi Fitra A. Bachtiar adalah fitra.bachtiar[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa NIK/NIP Fitra A. Bachtiar?,NIK/NIP Fitra A. Bachtiar adalah 198406282019031006.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dari Fitra A. Bachtiar?,Nama lengkap dari Fitra A. Bachtiar adalah Dr.Eng. Fitra A. Bachtiar.,Manajemen / Struktur Organisasi FILKOM
Di departemen mana Fitra A. Bachtiar bekerja?,Fitra A. Bachtiar bekerja di Departemen Teknik Informatika.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Fitra A. Bachtiar?,Fitra A. Bachtiar mengikuti Program Studi S2 Ilmu Komputer.,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Fitra A. Bachtiar?,"Bidang penelitian yang menjadi fokus Fitra A. Bachtiar meliputi Affective Computing, Affective Engineering, Intelligent System, Data Mining, Educational Data Mining.",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Achmad Basuki?,Email untuk menghubungi Achmad Basuki adalah abazh[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap Achmad Basuki?,"Nama lengkap Achmad Basuki adalah Achmad Basuki, S.T., M.MG., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Achmad Basuki bekerja?,Achmad Basuki bekerja di Departemen Teknik Informatika.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Achmad Basuki?,Achmad Basuki mengikuti Program Studi S2 Magister Ilmu Komputer.,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Achmad Basuki?,"Bidang penelitian Achmad Basuki meliputi Internet of Things, Software-Defined Networking, Cloud Architecture & Engineering, dan Blockchain.",Manajemen / Struktur Organisasi FILKOM
Apa saja topik yang dipelajari dalam bidang penelitian Achmad Basuki?,"Topik-topik dalam bidang penelitian Achmad Basuki mencakup Internet of Things, Software-Defined Networking, Cloud Architecture & Engineering, dan Blockchain.",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Achmad Arwan?,Email untuk menghubungi Achmad Arwan adalah arwan[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademis Achmad Arwan?,"Nama lengkap Achmad Arwan, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Achmad Arwan mengambil program studi S1?,Achmad Arwan mengambil program studi S1 di Departemen Teknik Informatika.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Achmad Arwan di Departemen Teknik Informatika?,Achmad Arwan mengikuti Program Studi di Departemen Teknik Informatika (DTIF).,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Achmad Arwan?,Bidang penelitian Achmad Arwan mencakup Mining Repositori Kode dan Pengujian Perangkat Lunak.,Manajemen / Struktur Organisasi FILKOM
Apa topik-topik yang menjadi fokus penelitian Achmad Arwan?,Fokus penelitian Achmad Arwan melibatkan Mining Repositori Kode dan Pengujian Perangkat Lunak.,Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Adhitya Bhawiyuga?,Email untuk menghubungi Adhitya Bhawiyuga adalah bhawiyuga[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademis Adhitya Bhawiyuga?,"Nama lengkap Adhitya Bhawiyuga, S.Kom., M.Sc.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Adhitya Bhawiyuga mengambil program studi S1?,Adhitya Bhawiyuga mengambil program studi S1 di Departemen Teknik Informatika.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Adhitya Bhawiyuga di Departemen Teknik Informatika?,Adhitya Bhawiyuga mengikuti Program Studi di Departemen Teknik Informatika (DTIF).,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Adhitya Bhawiyuga?,"Bidang penelitian Adhitya Bhawiyuga melibatkan Internet of Things, Cloud Computing, Cybersecurity, Jaringan Komputer, Sistem Terdistribusi, Keamanan Jaringan, dan Mobile Computing.",Manajemen / Struktur Organisasi FILKOM
Apa saja topik-topik penelitian yang diminati oleh Adhitya Bhawiyuga?,"Adhitya Bhawiyuga memiliki minat penelitian pada Internet of Things, Cloud Computing, Cybersecurity, Jaringan Komputer, Sistem Terdistribusi, Keamanan Jaringan, dan Mobile Computing.",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Aditya Rachmadi?,Email untuk menghubungi Aditya Rachmadi adalah rachmadi.aditya[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademis Aditya Rachmadi?,"Nama lengkap Aditya Rachmadi, S.ST., M.TI.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Aditya Rachmadi mengambil program studi S1?,Aditya Rachmadi mengambil program studi S1 di Departemen Pendidikan Teknologi Informasi.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Aditya Rachmadi di Departemen Sistem Informasi (DSI)?,Aditya Rachmadi mengikuti Program Studi di Departemen Sistem Informasi (DSI).,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Aditya Rachmadi?,"Bidang penelitian Aditya Rachmadi melibatkan Perencanaan Strategis, Tata Kelola TI, Audit TI, Pengujian PL, dan Manajemen Investasi TI.",Manajemen / Struktur Organisasi FILKOM
Apa topik-topik penelitian yang diminati oleh Aditya Rachmadi?,"Aditya Rachmadi memiliki minat penelitian pada Perencanaan Strategis, Tata Kelola TI, Audit TI, Pengujian PL, dan Manajemen Investasi TI.",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Agi Putra Kharisma?,Email untuk menghubungi Agi Putra Kharisma adalah agi[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademis Agi Putra Kharisma?,"Nama lengkap Agi Putra Kharisma, S.T., M.T.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Agi Putra Kharisma mengambil program studi S1?,Agi Putra Kharisma mengambil program studi S1 di Departemen Teknik Informatika.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Agi Putra Kharisma di Departemen Teknik Informatika (DTIF)?,Agi Putra Kharisma mengikuti Program Studi di Departemen Teknik Informatika (DTIF).,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Agi Putra Kharisma?,"Bidang penelitian Agi Putra Kharisma mencakup Pengembangan Aplikasi Perangkat Bergerak, Rekayasa Perangkat Lunak, dan Interaksi Manusia dan Komputer.",Manajemen / Struktur Organisasi FILKOM
Apa topik-topik penelitian yang diminati oleh Agi Putra Kharisma?,"Agi Putra Kharisma memiliki minat penelitian pada Pengembangan Aplikasi Perangkat Bergerak, Rekayasa Perangkat Lunak, dan Interaksi Manusia dan Komputer.",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Agung Setia Budi?,Email untuk menghubungi Agung Setia Budi adalah agungsetiabudi[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademis Agung Setia Budi?,"Nama lengkap Agung Setia Budi, S.T., M.T., M.Eng., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Agung Setia Budi mengambil program studi S1?,Agung Setia Budi mengambil program studi S1 di Departemen Teknik Komputer.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Agung Setia Budi di Departemen Teknik Informatika (DTIF)?,Agung Setia Budi mengikuti Program Studi di Departemen Teknik Informatika (DTIF).,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Agung Setia Budi?,"Bidang penelitian Agung Setia Budi melibatkan Sistem Digital, Sistem Tertanam, Jaringan Sensor Nirkabel, Sistem Rumah Cerdas, dan Rekayasa Sistem Komputer.",Manajemen / Struktur Organisasi FILKOM
Apa topik-topik penelitian yang diminati oleh Agung Setia Budi?,"Agung Setia Budi memiliki minat penelitian pada Sistem Digital, Sistem Tertanam, Jaringan Sensor Nirkabel, Sistem Rumah Cerdas, dan Rekayasa Sistem Komputer.",Manajemen / Struktur Organisasi FILKOM
Apa email yang dapat digunakan untuk menghubungi Andi Reza?,Email untuk menghubungi Andi Reza adalah andireza[at]ub.ac.id.,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademis Andi Reza?,"Nama lengkap Andi Reza Perdanakusuma, S.Kom., M.MT.",Manajemen / Struktur Organisasi FILKOM
Di departemen mana Andi Reza mengambil program studi S1?,Andi Reza mengambil program studi S1 di Departemen Sistem Informasi.,Manajemen / Struktur Organisasi FILKOM
Program Studi apa yang diikuti oleh Andi Reza di Departemen Sistem Informasi (DSI)?,Andi Reza mengikuti Program Studi di Departemen Sistem Informasi (DSI).,Manajemen / Struktur Organisasi FILKOM
Apa bidang penelitian yang menjadi fokus Andi Reza?,Bidang penelitian Andi Reza melibatkan Tata Kelola TI dan Rekayasa Proses Bisnis.,Manajemen / Struktur Organisasi FILKOM
